customerID,Service Line,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod
4701-MLJPN,Tax,No,No,31,Month-to-month,Yes,Electronic check
1205-WNWPJ,Advisory,No,No,7,Month-to-month,Yes,Mailed check
6158-HDPXZ,Audit,No,No,1,Month-to-month,No,Mailed check
6683-VLCTZ,Consulting,No,No,20,Month-to-month,Yes,Electronic check
3727-OWVYD,EA,No,No,35,One year,No,Mailed check
0856-NAOES,Tax,No,No,6,Month-to-month,No,Mailed check
0562-FGDCR,Advisory,Yes,Yes,72,Two year,No,Mailed check
0956-SYCWG,Audit,No,No,13,One year,No,Electronic check
2277-VWCNI,Consulting,No,No,4,Month-to-month,No,Mailed check
3498-LZGQZ,EA,Yes,Yes,63,Two year,Yes,Mailed check
9135-MGVPY,Tax,Yes,No,69,Two year,Yes,Mailed check
3815-SLMEF,Advisory,No,No,3,Month-to-month,No,Mailed check
4513-CXYIX,Audit,Yes,No,71,Two year,Yes,Credit card (automatic)
8944-AILEF,Consulting,Yes,No,15,Month-to-month,Yes,Credit card (automatic)
1270-XKUCC,EA,Yes,Yes,30,Two year,No,Mailed check
6633-SYEUS,Tax,No,No,23,Month-to-month,No,Bank transfer (automatic)
8075-GXIUB,Advisory,Yes,No,9,One year,No,Credit card (automatic)
6016-NXBNJ,Audit,No,No,35,One year,Yes,Mailed check
9332-GYWLO,Consulting,Yes,Yes,6,Month-to-month,No,Electronic check
3276-HDUEG,EA,No,No,1,Month-to-month,Yes,Mailed check
5884-FBCTL,Tax,Yes,Yes,72,Two year,No,Bank transfer (automatic)
8999-YPYBV,Advisory,Yes,Yes,45,Two year,Yes,Mailed check
1522-VVDMG,Audit,Yes,Yes,7,Month-to-month,Yes,Electronic check
0848-SOMKO,Consulting,No,No,70,Two year,No,Bank transfer (automatic)
1657-DYMBM,EA,Yes,No,53,Two year,No,Credit card (automatic)
6923-EFPNL,Tax,No,No,4,Month-to-month,No,Credit card (automatic)
2167-FQSTQ,Advisory,Yes,No,72,Two year,Yes,Electronic check
9286-BHDQG,Audit,Yes,Yes,72,Two year,No,Credit card (automatic)
7225-CBZPL,Consulting,Yes,No,17,Month-to-month,Yes,Electronic check
5605-IYGFG,EA,No,No,7,Month-to-month,Yes,Bank transfer (automatic)
6861-OKBCE,Tax,No,Yes,11,Month-to-month,No,Credit card (automatic)
7571-YXDAD,Advisory,No,No,2,Month-to-month,No,Credit card (automatic)
0254-FNMCI,Audit,No,No,72,Two year,Yes,Electronic check
8981-FJGLA,Consulting,No,Yes,11,Month-to-month,Yes,Mailed check
8414-MYSHR,EA,No,No,5,Month-to-month,Yes,Electronic check
9274-CNFMO,Tax,Yes,No,4,Month-to-month,No,Electronic check
3794-NFNCH,Advisory,Yes,No,30,Month-to-month,Yes,Mailed check
5158-RIVOP,Audit,Yes,Yes,11,Two year,No,Credit card (automatic)
1100-DDVRV,Consulting,Yes,No,17,Month-to-month,Yes,Mailed check
9522-BNTHX,EA,No,No,34,Month-to-month,Yes,Electronic check
3677-IYRBF,Tax,No,No,2,Month-to-month,Yes,Electronic check
7009-PCARS,Advisory,No,Yes,55,One year,No,Bank transfer (automatic)
8250-ZNGGW,Audit,No,No,5,Month-to-month,No,Credit card (automatic)
0967-BMLBD,Consulting,Yes,Yes,11,One year,Yes,Mailed check
7594-RQHXR,EA,No,Yes,1,Month-to-month,Yes,Electronic check
8966-SNIZF,Tax,Yes,No,70,Two year,No,Bank transfer (automatic)
7235-NXZCP,Advisory,No,No,2,Month-to-month,Yes,Mailed check
0122-OAHPZ,Audit,No,No,7,Month-to-month,Yes,Electronic check
7815-PDTHL,Consulting,No,No,35,Two year,Yes,Mailed check
8331-ZXFOE,EA,No,No,58,One year,Yes,Credit card (automatic)
8901-UPRHR,Tax,Yes,Yes,72,Two year,Yes,Bank transfer (automatic)
3563-SVYLG,Advisory,Yes,Yes,68,Two year,No,Credit card (automatic)
3205-MXZRA,Audit,No,No,26,One year,No,Credit card (automatic)
5392-AKEMH,Consulting,No,No,12,Month-to-month,Yes,Electronic check
8201-AAXCB,EA,Yes,Yes,25,Month-to-month,No,Electronic check
6919-ELBGL,Tax,Yes,Yes,72,Two year,Yes,Bank transfer (automatic)
0530-IJVDB,Advisory,No,Yes,70,Two year,Yes,Electronic check
5047-LHVLY,Audit,No,Yes,1,Month-to-month,Yes,Mailed check
8404-FYDIB,Consulting,No,No,26,Month-to-month,Yes,Credit card (automatic)
3415-TAILE,EA,Yes,Yes,2,Month-to-month,No,Mailed check
2819-GWENI,Tax,Yes,Yes,28,One year,No,Mailed check
6164-HXUGH,Advisory,Yes,Yes,6,Month-to-month,No,Mailed check
6762-QVYJO,Audit,Yes,Yes,58,Two year,No,Mailed check
5046-NUHWD,Consulting,Yes,No,29,Month-to-month,Yes,Electronic check
0106-GHRQR,EA,No,No,16,Month-to-month,Yes,Bank transfer (automatic)
8374-XGEJJ,Tax,Yes,No,43,Month-to-month,Yes,Electronic check
2546-KZAAT,Advisory,Yes,No,52,One year,Yes,Mailed check
7569-NMZYQ,Audit,Yes,Yes,72,Two year,Yes,Bank transfer (automatic)
3279-DYZQM,Consulting,Yes,Yes,71,Two year,No,Mailed check
0374-FIUCA,EA,Yes,No,65,Two year,Yes,Credit card (automatic)
3714-NTNFO,Tax,No,No,49,Month-to-month,Yes,Electronic check
8705-DWKTI,Advisory,No,No,52,Month-to-month,Yes,Credit card (automatic)
4195-SMMNX,Audit,No,No,2,Month-to-month,No,Mailed check
2599-CIPQE,Consulting,Yes,Yes,71,Two year,No,Credit card (automatic)
5136-GFPMB,EA,No,No,54,Month-to-month,No,Credit card (automatic)
6476-YHMGA,Tax,Yes,Yes,15,Month-to-month,No,Bank transfer (automatic)
3055-MJDSB,Advisory,No,No,9,Month-to-month,Yes,Mailed check
7516-GMHUV,Audit,Yes,No,50,Two year,Yes,Credit card (automatic)
5940-NFXKV,Consulting,Yes,Yes,19,Month-to-month,Yes,Electronic check
3597-YASZG,EA,Yes,No,70,Two year,Yes,Bank transfer (automatic)
3786-WOVKF,Tax,Yes,No,72,One year,Yes,Bank transfer (automatic)
2806-MLNTI,Advisory,Yes,No,52,One year,Yes,Bank transfer (automatic)
0799-DDIHE,Audit,Yes,Yes,15,Month-to-month,No,Electronic check
9926-PJHDQ,Consulting,Yes,Yes,72,Two year,Yes,Bank transfer (automatic)
0334-GDDSO,EA,No,No,3,Month-to-month,Yes,Electronic check
2371-KFUOG,Tax,No,No,58,One year,No,Bank transfer (automatic)
4634-JLRJT,Advisory,No,No,1,Month-to-month,Yes,Mailed check
5886-VLQVU,Audit,Yes,No,35,Month-to-month,Yes,Bank transfer (automatic)
3194-ORPIK,Consulting,Yes,Yes,50,Month-to-month,Yes,Bank transfer (automatic)
6048-NJXHX,EA,Yes,No,41,Two year,Yes,Electronic check
7860-KSUGX,Tax,Yes,Yes,72,Two year,No,Credit card (automatic)
2925-MXLSX,Advisory,No,No,30,One year,Yes,Credit card (automatic)
2933-FILNV,Audit,Yes,Yes,2,Month-to-month,Yes,Mailed check
7758-XKCBS,Consulting,No,No,15,Month-to-month,Yes,Electronic check
2027-DNKIV,EA,Yes,Yes,37,One year,Yes,Mailed check
4751-ERMAN,Tax,Yes,Yes,72,Two year,Yes,Bank transfer (automatic)
8224-KDLKN,Advisory,Yes,Yes,72,Two year,No,Bank transfer (automatic)
7929-SKFGK,Audit,Yes,No,70,Two year,No,Credit card (automatic)
8329-IBCTI,Consulting,No,No,1,Month-to-month,No,Mailed check
5016-IBERQ,EA,Yes,No,23,Month-to-month,No,Electronic check
5405-ZMYXQ,Tax,No,No,8,Month-to-month,Yes,Credit card (automatic)
7841-TZDMQ,Advisory,No,No,2,Month-to-month,Yes,Credit card (automatic)
9754-CLVZW,Audit,Yes,Yes,26,Month-to-month,No,Credit card (automatic)
9503-XJUME,Consulting,No,Yes,52,One year,No,Credit card (automatic)
3298-QEICA,EA,Yes,Yes,23,Two year,No,Mailed check
9420-LOJKX,Tax,No,No,15,Month-to-month,Yes,Credit card (automatic)
3391-JSQEW,Advisory,Yes,No,40,Month-to-month,Yes,Mailed check
4939-KYYPY,Audit,No,No,27,Month-to-month,No,Electronic check
2061-VVFST,Consulting,Yes,No,37,Month-to-month,No,Bank transfer (automatic)
6480-YAGIY,EA,No,No,45,One year,No,Credit card (automatic)
0330-IVZHA,Tax,Yes,No,5,Month-to-month,No,Electronic check
7161-DFHUF,Advisory,Yes,No,71,Two year,No,Mailed check
1260-TTRXI,Audit,No,No,4,Month-to-month,No,Electronic check
8577-QSOCG,Consulting,Yes,Yes,38,Two year,Yes,Mailed check
8963-JLGJT,EA,No,Yes,3,Month-to-month,No,Mailed check
3266-FTKHB,Tax,No,No,17,Two year,No,Mailed check
6122-LJADA,Advisory,Yes,Yes,70,Two year,Yes,Credit card (automatic)
8710-YGLWG,Audit,No,No,1,Month-to-month,Yes,Mailed check
6463-HHXJR,Consulting,Yes,Yes,71,Two year,No,Bank transfer (automatic)
9576-SYUHJ,EA,No,No,37,Month-to-month,Yes,Electronic check
9289-LBQVU,Tax,Yes,No,64,One year,Yes,Mailed check
2207-QPJED,Advisory,Yes,No,37,Month-to-month,No,Electronic check
6990-YNRIO,Audit,Yes,Yes,65,Two year,No,Bank transfer (automatic)
0489-WMEMG,Consulting,No,Yes,23,One year,Yes,Electronic check
2189-UXTKY,EA,Yes,No,22,Month-to-month,Yes,Electronic check
7105-MXJLL,Tax,Yes,No,26,One year,No,Mailed check
7133-VBDCG,Advisory,No,No,25,Month-to-month,Yes,Bank transfer (automatic)
9933-QRGTX,Audit,Yes,No,60,Two year,Yes,Electronic check
6356-ELRKD,Consulting,No,No,1,Month-to-month,Yes,Electronic check
2194-IIQOF,EA,Yes,No,71,Two year,No,Credit card (automatic)
8063-GBATB,Tax,No,No,27,Month-to-month,Yes,Electronic check
9611-CTWIH,Advisory,No,No,3,Month-to-month,Yes,Electronic check
3571-DPYUH,Audit,Yes,Yes,58,One year,Yes,Credit card (automatic)
8519-QJGJD,Consulting,No,No,14,Month-to-month,No,Electronic check
5846-NEQVZ,EA,Yes,Yes,71,Two year,Yes,Credit card (automatic)
6022-KOUQO,Tax,Yes,Yes,2,Month-to-month,No,Bank transfer (automatic)
7205-BAIAD,Advisory,No,No,40,Two year,Yes,Bank transfer (automatic)
9574-BOSMD,Audit,Yes,Yes,68,Two year,No,Bank transfer (automatic)
4884-TVUQF,Consulting,No,No,57,Two year,No,Credit card (automatic)
6439-GTPCA,EA,No,No,45,Month-to-month,Yes,Electronic check
3795-CAWEX,Tax,Yes,Yes,70,Two year,Yes,Credit card (automatic)
7821-DPRQE,Advisory,Yes,No,68,Month-to-month,Yes,Electronic check
4983-CLMLV,Audit,Yes,No,52,Month-to-month,Yes,Credit card (automatic)
2380-DAMQP,Consulting,Yes,No,72,Two year,No,Electronic check
7534-BFESC,EA,No,No,24,Month-to-month,Yes,Electronic check
6695-FRVEC,Tax,Yes,Yes,67,Two year,Yes,Bank transfer (automatic)
0361-HJRDX,Advisory,No,No,68,Two year,No,Credit card (automatic)
0354-VXMJC,Audit,Yes,Yes,23,Two year,No,Credit card (automatic)
6559-ILWKJ,Consulting,Yes,No,71,Two year,No,Electronic check
9895-VFOXH,EA,No,No,1,Month-to-month,No,Mailed check
8229-BUJHX,Tax,Yes,Yes,71,Two year,No,Bank transfer (automatic)
4476-OSWTN,Advisory,Yes,No,69,One year,Yes,Mailed check
2995-UPRYS,Audit,Yes,No,40,One year,Yes,Credit card (automatic)
9208-OLGAQ,Consulting,No,No,18,Month-to-month,Yes,Electronic check
4124-MMETB,EA,No,No,22,Month-to-month,Yes,Credit card (automatic)
8882-TLVRW,Tax,Yes,Yes,69,Two year,No,Mailed check
2957-JIRMN,Advisory,No,No,62,One year,No,Electronic check
3646-ITDGM,Audit,No,No,56,Two year,No,Bank transfer (automatic)
2673-ZALNP,Consulting,No,No,7,One year,No,Mailed check
9975-SKRNR,EA,No,No,1,Month-to-month,No,Mailed check
3724-UCSHY,Tax,Yes,Yes,6,Month-to-month,No,Mailed check
0259-GBZSH,Advisory,No,No,2,Month-to-month,Yes,Electronic check
7130-CTCUS,Audit,Yes,No,16,Month-to-month,Yes,Bank transfer (automatic)
8150-QUDFX,Consulting,No,No,2,Month-to-month,No,Mailed check
8218-FFJDS,EA,Yes,No,72,Two year,Yes,Bank transfer (automatic)
8259-NFJTV,Tax,Yes,Yes,7,Month-to-month,No,Mailed check
7909-FIOIY,Advisory,Yes,Yes,19,Month-to-month,Yes,Mailed check
3317-VLGQT,Audit,Yes,No,14,Month-to-month,Yes,Electronic check
2722-VOJQL,Consulting,No,No,64,One year,Yes,Credit card (automatic)
0584-BJQGZ,EA,No,No,25,Month-to-month,Yes,Bank transfer (automatic)
6732-VAILE,Tax,Yes,Yes,70,Two year,Yes,Credit card (automatic)
1302-TPUBN,Advisory,No,No,66,Two year,No,Bank transfer (automatic)
8380-PEFPE,Audit,No,Yes,1,Month-to-month,Yes,Electronic check
7402-PWYJJ,Consulting,Yes,No,53,One year,Yes,Electronic check
4250-FDVOU,EA,No,No,6,Month-to-month,No,Electronic check
9128-CPXKI,Tax,No,No,59,Two year,No,Electronic check
4183-WCSEP,Advisory,No,No,31,Month-to-month,Yes,Electronic check
0404-SWRVG,Audit,No,No,3,Month-to-month,Yes,Electronic check
6227-HWPWX,Consulting,No,Yes,15,Month-to-month,No,Bank transfer (automatic)
1899-VXWXM,EA,No,No,48,One year,Yes,Credit card (automatic)
8450-JOVAH,Tax,Yes,Yes,2,Month-to-month,No,Mailed check
4550-VBOFE,Advisory,Yes,No,70,Month-to-month,Yes,Electronic check
9546-CQJSU,Audit,No,No,2,Month-to-month,Yes,Electronic check
4789-KWMXN,Consulting,Yes,No,47,One year,Yes,Credit card (automatic)
0835-DUUIQ,EA,No,Yes,24,One year,No,Bank transfer (automatic)
1855-AGAWH,Tax,Yes,No,31,One year,Yes,Electronic check
9079-YEXQJ,Advisory,No,No,54,Month-to-month,No,Electronic check
3577-AMVUX,Audit,No,No,1,Month-to-month,No,Mailed check
2316-ESMLS,Consulting,Yes,Yes,12,One year,No,Credit card (automatic)
9426-SXNHE,EA,No,No,2,Month-to-month,No,Bank transfer (automatic)
8550-XSXUQ,Tax,Yes,No,48,One year,Yes,Credit card (automatic)
0723-DRCLG,Advisory,Yes,No,1,Month-to-month,Yes,Electronic check
2176-OSJUV,Audit,Yes,No,71,Two year,No,Bank transfer (automatic)
0107-WESLM,Consulting,No,No,1,Month-to-month,Yes,Electronic check
8626-XHBIE,EA,No,Yes,56,Two year,Yes,Mailed check
0188-GWFLE,Tax,No,No,2,Month-to-month,No,Mailed check
8166-ZZTFS,Advisory,Yes,No,66,Two year,Yes,Bank transfer (automatic)
5774-QPLTF,Audit,Yes,Yes,50,One year,Yes,Mailed check
0929-PECLO,Consulting,No,No,63,Month-to-month,Yes,Bank transfer (automatic)
5696-QURRL,EA,No,No,1,Month-to-month,Yes,Mailed check
8124-NZVGJ,Tax,No,No,6,One year,Yes,Mailed check
4130-MZLCC,Advisory,No,No,5,Month-to-month,No,Bank transfer (automatic)
4489-SNOJF,Audit,Yes,Yes,35,Month-to-month,No,Electronic check
8984-HPEMB,Consulting,No,No,71,Two year,Yes,Electronic check
4615-PIVVU,EA,No,No,42,Two year,No,Credit card (automatic)
6848-HJTXY,Tax,Yes,No,64,Two year,No,Credit card (automatic)
8757-TFHHJ,Advisory,No,No,1,Month-to-month,Yes,Credit card (automatic)
4603-JANFB,Audit,No,No,1,Month-to-month,Yes,Electronic check
8565-HBFNN,Consulting,Yes,No,69,One year,Yes,Credit card (automatic)
7422-WNBTY,EA,Yes,No,33,Month-to-month,Yes,Electronic check
4712-UYOOI,Tax,Yes,Yes,20,Month-to-month,No,Electronic check
3372-CDXFJ,Advisory,Yes,Yes,13,One year,No,Bank transfer (automatic)
5353-WILCI,Audit,No,No,28,Month-to-month,No,Electronic check
0988-AADSA,Consulting,Yes,Yes,72,Two year,No,Bank transfer (automatic)
8270-RKSAP,EA,No,No,9,Month-to-month,Yes,Electronic check
5954-BDFSG,Tax,No,No,72,Two year,Yes,Credit card (automatic)
5792-JALQC,Advisory,No,No,52,Two year,No,Bank transfer (automatic)
2202-OUTMO,Audit,Yes,No,34,Month-to-month,Yes,Bank transfer (automatic)
9028-LIHRP,Consulting,Yes,Yes,71,Two year,No,Credit card (automatic)
9150-KPBJQ,EA,No,No,6,Two year,No,Credit card (automatic)
4003-OCTMP,Tax,Yes,No,31,One year,Yes,Electronic check
8775-LHDJH,Advisory,Yes,No,1,Month-to-month,Yes,Electronic check
6770-UAYGJ,Audit,Yes,Yes,49,Two year,No,Mailed check
7596-IIWYC,Consulting,No,No,27,Two year,Yes,Bank transfer (automatic)
0887-WBJVH,EA,Yes,No,53,One year,Yes,Electronic check
8840-DQLGN,Tax,Yes,No,35,Month-to-month,Yes,Bank transfer (automatic)
8413-VONUO,Advisory,No,No,2,Month-to-month,No,Electronic check
9281-PKKZE,Audit,Yes,No,46,Month-to-month,Yes,Electronic check
5186-PEIZU,Consulting,No,No,35,Month-to-month,No,Bank transfer (automatic)
6339-YPSAH,EA,No,No,9,Month-to-month,Yes,Electronic check
2324-EFHVG,Tax,No,No,64,Two year,Yes,Bank transfer (automatic)
1918-ZBFQJ,Advisory,No,No,13,Month-to-month,Yes,Electronic check
6968-GMKPR,Audit,No,No,55,Month-to-month,Yes,Electronic check
3062-ICYZQ,Consulting,Yes,Yes,51,Month-to-month,Yes,Electronic check
2233-FAGXV,EA,Yes,Yes,5,Month-to-month,Yes,Mailed check
6017-PPLPX,Tax,Yes,Yes,20,Month-to-month,Yes,Electronic check
1982-FEBTD,Advisory,Yes,Yes,23,Two year,Yes,Credit card (automatic)
9705-IOVQQ,Audit,Yes,Yes,61,One year,No,Electronic check
6288-CHQJB,Consulting,Yes,Yes,54,Two year,No,Bank transfer (automatic)
3315-TOTBP,EA,No,No,15,Month-to-month,Yes,Mailed check
6096-EGVTU,Tax,Yes,Yes,64,One year,No,Mailed check
2937-FTHUR,Advisory,No,Yes,18,Month-to-month,No,Electronic check
4062-HBMOS,Audit,No,No,52,Month-to-month,Yes,Electronic check
2387-KDZQY,Consulting,No,No,17,One year,Yes,Mailed check
4609-KNNWG,EA,Yes,Yes,27,Two year,No,Mailed check
0409-WTMPL,Tax,Yes,No,58,One year,Yes,Credit card (automatic)
3766-EJLFL,Advisory,Yes,Yes,68,Two year,Yes,Bank transfer (automatic)
4232-JGKIY,Audit,No,No,1,Month-to-month,No,Electronic check
0334-ZFJSR,Consulting,Yes,No,55,One year,Yes,Credit card (automatic)
6582-OIVSP,EA,No,No,1,Month-to-month,No,Mailed check
8661-BOYNW,Tax,Yes,No,72,Two year,Yes,Credit card (automatic)
4257-GAESD,Advisory,No,No,6,Month-to-month,No,Credit card (automatic)
8785-CJSHH,Audit,Yes,No,60,Month-to-month,Yes,Electronic check
5469-CTCWN,Consulting,Yes,Yes,61,One year,Yes,Electronic check
2839-RFSQE,EA,No,No,2,Month-to-month,No,Mailed check
4890-VMUAV,Tax,No,No,63,One year,No,Electronic check
3365-SAIGS,Advisory,No,No,17,Month-to-month,Yes,Electronic check
0946-CLJTI,Audit,Yes,No,58,Month-to-month,Yes,Electronic check
3920-HIHMQ,Consulting,No,Yes,26,Month-to-month,Yes,Mailed check
5307-UVGNB,EA,Yes,Yes,53,Month-to-month,Yes,Bank transfer (automatic)
8780-RSYYU,Tax,No,No,25,Month-to-month,Yes,Credit card (automatic)
0742-NXBGR,Advisory,No,No,1,Month-to-month,Yes,Electronic check
8067-NIOYM,Audit,Yes,Yes,24,Two year,Yes,Credit card (automatic)
5916-QEWPT,Consulting,Yes,No,2,Month-to-month,No,Credit card (automatic)
1029-QFBEN,EA,No,No,1,Month-to-month,No,Mailed check
9251-WNSOD,Tax,Yes,No,67,One year,No,Mailed check
6576-FBXOJ,Advisory,Yes,No,17,One year,No,Electronic check
2501-XWWTZ,Audit,No,No,11,Month-to-month,No,Electronic check
6080-LNESI,Consulting,No,No,51,Two year,No,Mailed check
7245-NIIWQ,EA,No,No,3,Month-to-month,Yes,Electronic check
6567-HOOPW,Tax,No,No,1,Month-to-month,Yes,Electronic check
4550-EVXNY,Advisory,No,Yes,1,Month-to-month,Yes,Electronic check
6437-UDQJM,Audit,Yes,No,72,Two year,Yes,Credit card (automatic)
0297-RBCSG,Consulting,No,No,19,One year,Yes,Bank transfer (automatic)
2097-YVPKN,EA,No,No,65,Two year,No,Mailed check
0853-NWIFK,Tax,No,No,45,One year,Yes,Electronic check
4853-OITSN,Advisory,Yes,No,5,Month-to-month,Yes,Electronic check
6128-DAFVY,Audit,No,No,56,Month-to-month,Yes,Credit card (automatic)
1197-BVMVG,Consulting,No,No,4,Month-to-month,Yes,Electronic check
7508-DQAKK,EA,No,No,64,Two year,Yes,Credit card (automatic)
9938-PRCVK,Tax,Yes,Yes,41,Two year,No,Bank transfer (automatic)
0289-IVARM,Advisory,No,No,35,Month-to-month,No,Electronic check
8260-NGFNY,Audit,No,No,1,Month-to-month,No,Mailed check
7074-IEVOJ,Consulting,No,No,3,Month-to-month,Yes,Electronic check
6614-YWYSC,EA,Yes,No,61,Two year,No,Bank transfer (automatic)
8473-VUVJN,Tax,No,No,1,Month-to-month,Yes,Electronic check
6693-DJWTY,Advisory,No,Yes,35,One year,No,Credit card (automatic)
3655-SNQYZ,Audit,Yes,Yes,69,Two year,No,Credit card (automatic)
2845-KDHVX,Consulting,Yes,No,64,Two year,Yes,Mailed check
5027-YOCXN,EA,Yes,Yes,51,One year,No,Credit card (automatic)
8884-MRNSU,Tax,Yes,Yes,17,One year,No,Bank transfer (automatic)
0567-XRHCU,Advisory,Yes,Yes,69,Two year,Yes,Credit card (automatic)
5868-CZJDR,Audit,No,Yes,1,Month-to-month,Yes,Mailed check
4223-BKEOR,Consulting,No,Yes,21,One year,No,Mailed check
6035-RIIOM,EA,No,No,54,Two year,Yes,Bank transfer (automatic)
3797-VTIDR,Tax,Yes,No,1,Month-to-month,Yes,Electronic check
2568-BRGYX,Advisory,No,No,4,Month-to-month,Yes,Electronic check
2775-SEFEE,Audit,No,Yes,0,Two year,Yes,Bank transfer (automatic)
4291-SHSBH,Consulting,No,No,7,Month-to-month,Yes,Electronic check
4635-EJYPD,EA,Yes,Yes,32,Two year,No,Mailed check
2607-DHDAK,Tax,Yes,Yes,72,Two year,Yes,Credit card (automatic)
5204-QZXPU,Advisory,No,No,19,Month-to-month,Yes,Electronic check
0221-NAUXK,Audit,No,Yes,10,One year,Yes,Bank transfer (automatic)
3398-ZOUAA,Consulting,Yes,No,21,Month-to-month,Yes,Electronic check
1768-HNVGJ,EA,No,No,45,Month-to-month,Yes,Electronic check
5917-RYRMG,Tax,No,No,32,One year,No,Credit card (automatic)
3858-XHYJO,Advisory,Yes,No,40,One year,No,Bank transfer (automatic)
4837-PZTIC,Audit,No,No,47,Two year,No,Mailed check
2773-MADBQ,Consulting,No,No,36,Two year,Yes,Mailed check
1090-PYKCI,EA,Yes,Yes,69,One year,Yes,Credit card (automatic)
9479-HYNYL,Tax,Yes,No,71,Two year,Yes,Credit card (automatic)
4565-NLZBV,Advisory,Yes,No,71,Two year,Yes,Bank transfer (automatic)
